apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +459, (Half Day),(Pol dňa)
apps/erpnext/erpnext/accounts/page/pos/pos.js +72, is mandatory. Maybe Currency Exchange record is not created for ,"je povinné. Možno, Zmenáreň záznam nie je vytvorená pre"
apps/erpnext/erpnext/controllers/accounts_controller.py +286, or ,alebo
apps/erpnext/erpnext/accounts/page/pos/pos.js +73, to ,k
apps/erpnext/erpnext/stock/doctype/item/item.py +471,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",
DocType: Sales Order,%  Delivered,% Dodaných
DocType: Timesheet,% Amount Billed,% Fakturovanej čiastky
DocType: Purchase Order,% Billed,% Fakturovaných
DocType: Project,% Complete Method,
DocType: Project,% Completed,
DocType: Delivery Note,% Installed,% Inštalovaných
DocType: Material Request,% Ordered,% Objednané
DocType: Task,% Progress,
DocType: Purchase Order,% Received,% Prijaté
DocType: Sales Order,% of materials billed against this Sales Order,% Materiálov fakturovaných proti tejto Predajnej objednávke
DocType: Delivery Note,% of materials delivered against this Delivery Note,% materiálov dodaných proti tomuto dodaciemu listu
DocType: Sales Order,% of materials delivered against this Sales Order,% materiálov dodaných proti tejto Predajnej objednávke
apps/erpnext/erpnext/projects/doctype/task/task.py +40,'Actual Start Date' can not be greater than 'Actual End Date',"""Aktuálny datum začiatku"" nemôže byť väčší ako ""Aktuálny dátum ukončenia"""
apps/erpnext/erpnext/controllers/trends.py +39,'Based On' and 'Group By' can not be same,"""Založené na"" a ""Zoskupené podľa"", nemôžu byť rovnaké"
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py +16,'Days Since Last Order' must be greater than or equal to zero,"""Dní od poslednej objednávky"" musí byť väčšie alebo rovnajúce sa nule"
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +441,'Entries' cannot be empty,"""Položky"" nemôžu býť prázdne"
apps/erpnext/erpnext/projects/doctype/task/task.py +37,'Expected Start Date' can not be greater than 'Expected End Date',"""Očakávaný Dátum Začiatku"" nemôže byť väčší ako ""Očakávaný Dátum Ukončenia"""
apps/erpnext/erpnext/stock/report/batch_item_expiry_status/batch_item_expiry_status.py +43,'From Date' is required,"""Dátum od"" je povinný"
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py +18,'From Date' must be after 'To Date',"""Dátum DO"" musí byť po ""Dátum OD"""
apps/erpnext/erpnext/stock/doctype/item/item.py +410,'Has Serial No' can not be 'Yes' for non-stock item,"""Má sériové číslo"", nemôže byť ""áno"" pre neskladový tovar"
apps/erpnext/erpnext/controllers/recurring_document.py +214,'Notification Email Addresses' not specified for recurring %s,"""E-mailové adresy pre oznámenie"" nie sú uvedené pre odpovedanie %s"
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py +95,'Opening',"""Otváranie"""
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js +57,'To Case No.' cannot be less than 'From Case No.',"""Do Prípadu č ' nesmie byť menší ako ""Od Prípadu č '"
apps/erpnext/erpnext/stock/report/batch_item_expiry_status/batch_item_expiry_status.py +48,'To Date' is required,"""Dátum Do"" je povinný"
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html +59,'Total',
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +48,'Update Stock' can not be checked because items are not delivered via {0},"""Aktualizovať Sklad ' nie je možné skontrolovať, pretože položky nie sú dodané cez {0}"
apps/erpnext/erpnext/controllers/accounts_controller.py +568,'Update Stock' cannot be checked for fixed asset sale,
DocType: Production Order Operation,(Hour Rate / 60) * Actual Operation Time,(Hodina Rate / 60) * Skutočná Prevádzková doba
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Bude vypočítané v transakcii.
DocType: Fiscal Year,**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Fiškálny rok ** predstavuje finančný rok. Všetky účtovné záznamy a ďalšie významné transakcie sú sledované pod ** Fiškálny rok **.
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,
apps/erpnext/erpnext/accounts/report/accounts_receivable_summary/accounts_receivable_summary.py +27,-Above,-Nad
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py +64,90-Above,90 Nad
apps/erpnext/erpnext/selling/doctype/customer/customer.py +125,A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Zákaznická skupina existuje s rovnakým názvom, prosím zmeňte názov zákazníka alebo premenujte skupinu zákazníkov"
apps/erpnext/erpnext/public/js/setup_wizard.js +297,A Product or Service,Produkt alebo Služba
DocType: Item,"A Product or a Service that is bought, sold or kept in stock.","Produkt alebo služba, ktorá sa nakupuje, predáva alebo skladuje."
DocType: Shipping Rule Condition,A condition for a Shipping Rule,Podmínka pro pravidla dopravy
DocType: Warehouse,A logical Warehouse against which stock entries are made.,"Logická Warehouse na položky, ktoré mohou byť vyrobeny."
DocType: Sales Partner,A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Distributor / dealer / jednatel / partner / predajce, ktorý prodává produkty spoločnosti za provizi."
DocType: Expense Claim,"A user with ""Expense Approver"" role","Používateľ s rolí ""Schvalovatel výdajov"""
DocType: Employee,A+,
DocType: Employee,A-,
DocType: Cheque Print Template,A4,
DocType: Employee,AB+,
DocType: Employee,AB-,
DocType: Serial No,AMC Expiry Date,AMC Dátum vypršení platnosti
DocType: Student Applicant,AP,
DocType: Appraisal,APRSL,
DocType: Attendance,ATT-,
DocType: Salary Component,Abbr,Skratka
apps/erpnext/erpnext/setup/doctype/company/company.py +273,Abbr can not be blank or space,Skrátená nemôže byť prázdne alebo priestor
DocType: Item Attribute Value,Abbreviation,Skratka
apps/erpnext/erpnext/setup/doctype/company/company.py +48,Abbreviation already used for another company,
apps/erpnext/erpnext/setup/doctype/company/company.py +42,Abbreviation cannot have more than 5 characters,Skratka nesmie mať viac ako 5 znakov
apps/erpnext/erpnext/setup/doctype/company/company.py +45,Abbreviation is mandatory,Skratka je povinná
apps/erpnext/erpnext/hr/doctype/salary_component/salary_component.py +24,Abbreviation {0} already used for another salary component,
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py +58,Above,Vyššie
DocType: Attendance,Absent,Neprítomný
,Absent Student Report,
DocType: Student Log,Academic,
